round,success,not_sufficient,game_over,total,val_success_ratio
0,192,86,22,300,0.08333333333333333
1,183,100,17,300,0.1111111111111111
2,182,107,11,300,0.08333333333333333
3,204,82,14,300,0.08333333333333333
4,225,68,7,300,0.08333333333333333
0,151,128,21,300,0.08333333333333333
1,190,91,19,300,0.08333333333333333
2,193,102,5,300,0.08333333333333333
3,188,102,10,300,0.08333333333333333
4,148,147,5,300,0.08333333333333333
5,186,103,11,300,0.08333333333333333
6,149,141,10,300,0.08333333333333333
7,174,122,4,300,0.08333333333333333
8,210,72,18,300,0.08333333333333333
9,212,72,16,300,0.08333333333333333
10,209,77,14,300,0.08333333333333333
0,199,89,12,300,0.08333333333333333
1,178,115,7,300,0.08333333333333333
0,174,113,13,300,0.08333333333333333
1,182,106,12,300,0.08333333333333333
2,193,87,20,300,0.08333333333333333
3,199,89,12,300,0.08333333333333333
4,223,69,8,300,0.08333333333333333
5,190,99,11,300,0.08333333333333333
6,216,74,10,300,0.1111111111111111
7,217,68,15,300,0.08333333333333333
8,229,57,14,300,0.1111111111111111
9,208,81,11,300,0.1111111111111111
0,6,53,341,400,0.0
